HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,Transported
1,0,149,2,39,0,0
0,0,2184,2,24,0,1
1,0,1,2,58,1,0
1,0,1,2,33,0,0
0,0,2186,2,16,0,1
0,0,2183,1,44,0,1
0,0,3425,2,26,0,1
0,1,4559,2,28,0,1
0,0,3565,2,35,0,1
1,1,150,0,14,0,1
1,1,150,2,34,0,1
1,0,150,0,45,0,1
2,0,2185,2,32,0,1
0,0,4561,2,48,0,0
0,0,3424,2,28,0,1
0,0,6156,2,31,0,0
2,0,3564,0,27,0,0
0,0,3696,0,24,0,0
2,1,3844,2,45,0,1
0,0,4558,2,0,0,1
0,0,3988,0,14,0,0
0,1,1407,2,1,0,0
0,1,1407,0,49,0,0
0,1,1407,0,29,0,0
0,0,1407,2,10,0,1
0,1,1407,1,1,0,0
0,0,1407,2,7,0,0
2,0,1034,2,21,0,0
1,1,750,2,62,0,1
0,0,3989,2,15,0,0
1,0,598,0,34,0,0
2,0,4268,2,43,0,0
0,0,5660,2,32,0,0
2,0,4406,2,47,0,1
2,0,4406,2,2,0,1
2,0,4406,2,20,0,1
1,1,1036,0,28,0,1
2,0,1035,0,23,0,0
0,0,4269,0,15,0,0
0,0,2188,0,20,0,0
0,1,4560,0,30,0,0
0,1,5362,2,17,0,1
1,0,461,2,45,0,0
0,1,5513,2,55,0,0
0,1,5513,0,4,0,1
0,1,5513,1,21,0,1
2,0,2187,2,21,0,0
2,1,2187,2,19,0,1
0,0,1408,0,35,0,0
0,0,1557,2,56,0,0
0,0,5955,2,28,0,0
0,0,2330,2,25,0,1
1,0,2,2,2,0,1
1,1,2,2,38,0,1
1,0,2,2,27,0,1
0,1,6108,1,36,0,0
0,0,2482,2,22,0,0
0,0,2628,2,62,0,0
2,1,2763,2,15,0,1
0,1,1697,2,33,0,1
0,0,5954,2,62,0,0
0,1,4562,1,0,0,1
0,0,4562,2,18,0,1
0,0,2905,0,21,0,0
2,0,1845,2,28,0,0
0,0,3044,2,42,0,1
0,0,2627,2,19,0,0
0,0,2762,2,17,0,0
0,0,3190,2,14,0,0
2,0,1303,1,37,0,0
1,0,903,2,42,0,1
2,0,3331,2,27,0,1
2,0,2904,2,28,0,1
1,0,950,2,38,0,0
0,1,4992,2,13,0,0
2,0,3043,2,42,0,0
2,1,3043,2,2,0,1
2,0,3043,2,8,0,1
0,0,5139,2,24,0,1
1,1,962,2,40,0,1
0,0,3189,2,43,0,0
2,1,1988,1,45,0,1
0,1,5281,2,35,0,1
0,1,5303,2,26,0,1
0,0,3426,2,27,0,0
0,0,6402,2,19,0,0
0,1,6402,2,0,0,1
0,1,6402,2,3,0,1
1,0,24,2,54,0,0
0,0,4710,2,26,0,0
0,0,4710,2,26,0,1
0,0,3407,1,23,0,0
0,0,4848,2,2,0,1
2,1,6156,2,31,0,1
0,0,3471,2,18,0,0
